Profile Name,Company Name,Experience,Apply By,Skills Required,Salary,Page,URL,Timestamp,City
Associate Data Scientist,Softsensor.ai,0 year(s),Not Found,"Artificial intelligence, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL, 5 days a week","₹ 5,00,000 - 6,00,000",3,https://internshala.com/job/detail/fresher-associate-data-scientist-job-in-multiple-locations-at-softsensorai1745309378,01-05-2025 10:56,Jaipur
Business Growth Executive,TAB Group,0 year(s),Not Found,"Business Development, Effective Communication, Lead Generation, Negotiation, Problem Solving, 5 days a week","₹ 3,64,000 - 13,00,000",3,https://internshala.com/job/detail/fresher-business-growth-executive-job-in-multiple-locations-at-tab-group1745299282,01-05-2025 10:56,Jaipur
3D Visualizor,Hempal Studio,1 year(s),Not Found,"Animation, Autodesk 3ds Max, V-Ray","₹ 2,94,000 - 12,00,000",3,https://internshala.com/job/detail/3d-visualizor-job-in-jaipur-at-hempal-studio1745234879,01-05-2025 10:56,Jaipur
Client Service Executive,Mr n Mrs Pet,1 year(s),Not Found,"Effective Communication, English Proficiency (Spoken), Sales, Informal dress code","₹ 2,00,000 - 3,00,000",3,https://internshala.com/job/detail/client-service-executive-job-in-jaipur-at-mr-n-mrs-pet1745234478,01-05-2025 10:56,Jaipur
Junior Social Media Marketing Executive,SOCIOTOPS MARKETING PRIVATE LIMITED,1 year(s),Not Found,"Canva, Content Marketing, Design Thinking, Digital Marketing, Facebook Marketing, Instagram Marketing, Poster Design, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing","₹ 2,00,000 - 2,50,000",3,https://internshala.com/job/detail/junior-social-media-marketing-executive-job-in-jaipur-at-sociotops-marketing-private-limited1745233547,01-05-2025 10:56,Jaipur
Agile Business Analyst,Softsensor.ai,0 year(s),Not Found,"Jira, Wireframing, Informal dress code, 5 days a week, Free snacks & beverages","₹ 3,00,000 - 4,00,000",3,https://internshala.com/job/detail/fresher-agile-business-analyst-intern-to-full-job-in-jaipur-at-softsensorai1745227625,01-05-2025 10:56,Jaipur
Senior UI/UX Designer,GR Silver Design International,1 year(s),Not Found,"CSS, Figma, HTML, UI & UX Design","₹ 3,00,000 - 4,00,000",3,https://internshala.com/job/detail/senior-ui-ux-designer-job-in-jaipur-at-gr-silver-design-international1745218408,01-05-2025 10:56,Jaipur
Customer Support Executive,AIM Placement Services,0 year(s),Not Found,"Effective Communication, Informal dress code, 5 days a week, Free snacks & beverages, Cab/Transportation facility, Health Insurance, Life Insurance","₹ 2,93,000 - 5,11,000",3,https://internshala.com/job/detail/fresher-customer-support-executive-job-in-multiple-locations-at-aim-placement-services1745126480,01-05-2025 10:56,Jaipur
English Faculty - Verbal (Competitive Exams),Aptimania,1 year(s),Not Found,Effective Communication,"₹ 3,00,000 - 6,00,000",3,https://internshala.com/job/detail/english-faculty-verbal-competitive-exams-job-in-jaipur-at-aptimania1744977323,01-05-2025 10:56,Jaipur
.NET Developer,Mr n Mrs Pet,1 year(s),Not Found,".NET, C#, C#.NET, HTML, JavaScript, MS SQL Server","₹ 2,50,000 - 4,00,000",3,https://internshala.com/job/detail/net-developer-job-in-jaipur-at-mr-n-mrs-pet1744945562,01-05-2025 10:57,Jaipur
